tag_name,recipe_id
poultry,10744
vegetables,10744
american,10744
oven,10744
easy,10744
potluck,10744
dinner-party,10744
winter,10744
chicken,10744
dietary,10744
one-dish-meal,10744
seasonal,10744
meat,10744
to-go,10744
equipment,10744
4-hours-or-less,10744
60-minutes-or-less,129926
time-to-make,129926
course,129926
main-ingredient,129926
cuisine,129926
preparation,129926
occasion,129926
north-american,129926
main-dish,129926
eggs-dairy,129926
poultry,129926
american,129926
mexican,129926
southwestern-united-states,129926
tex-mex,129926
oven,129926
easy,129926
beginner-cook,129926
cheese,129926
chicken,129926
dietary,129926
comfort-food,129926
oamc-freezer-make-ahead,129926
meat,129926
chicken-breasts,129926
taste-mood,129926
equipment,129926
number-of-servings,129926
weeknight,33671
time-to-make,33671
course,33671
main-ingredient,33671
cuisine,33671
preparation,33671
occasion,33671
north-american,33671
very-low-carbs,33671
main-dish,33671
poultry,33671
american,33671
winter,33671
chicken,33671
crock-pot-slow-cooker,33671
dietary,33671
seasonal,33671
low-carb,33671
low-in-something,33671
meat,33671
whole-chicken,33671
equipment,33671
60-minutes-or-less,63689
time-to-make,63689
course,63689
main-ingredient,63689
preparation,63689
occasion,63689
lunch,63689
main-dish,63689
beef,63689
potluck,63689
fall,63689
dietary,63689
seasonal,63689
sandwiches,63689
ground-beef,63689
meat,63689
taste-mood,63689
to-go,63689
camping,63689
presentation,63689
served-hot,63689
60-minutes-or-less,150863
time-to-make,150863
course,150863
preparation,150863
occasion,150863
bisques-cream-soups,150863
soups-stews,150863
fall,150863
winter,150863
dietary,150863
seasonal,150863
30-minutes-or-less,97496
time-to-make,97496
course,97496
preparation,97496
for-large-groups,97496
drop-cookies,97496
desserts,97496
oven,97496
cookies-and-brownies,97496
dietary,97496
equipment,97496
number-of-servings,97496
time-to-make,107786
course,107786
main-ingredient,107786
cuisine,107786
preparation,107786
occasion,107786
north-american,107786
main-dish,107786
pork,107786
american,107786
oven,107786
easy,107786
beginner-cook,107786
dinner-party,107786
heirloom-historical,107786
holiday-event,107786
broil,107786
comfort-food,107786
midwestern,107786
meat,107786
pork-ribs,107786
taste-mood,107786
equipment,107786
presentation,107786
served-hot,107786
4-hours-or-less,107786
30-minutes-or-less,5170
time-to-make,5170
course,5170
preparation,5170
occasion,5170
pancakes-and-waffles,5170
breakfast,5170
easy,5170
dietary,5170
high-calcium,5170
high-in-something,5170
brunch,5170
number-of-servings,5170
15-minutes-or-less,32614
time-to-make,32614
course,32614
main-ingredient,32614
preparation,32614
occasion,32614
5-ingredients-or-less,32614
hand-formed-cookies,32614
desserts,32614
oven,32614
easy,32614
beginner-cook,32614
holiday-event,32614
kid-friendly,32614
picnic,32614
winter,32614
cookies-and-brownies,32614
chocolate,32614
dietary,32614
christmas,32614
seasonal,32614
inexpensive,32614
to-go,32614
equipment,32614
number-of-servings,32614
time-to-make,95222
course,95222
main-ingredient,95222
preparation,95222
for-1-or-2,95222
main-dish,95222
pork,95222
oven,95222
easy,95222
dietary,95222
high-protein,95222
low-carb,95222
inexpensive,95222
high-in-something,95222
low-in-something,95222
meat,95222
pork-chops,95222
equipment,95222
number-of-servings,95222
4-hours-or-less,95222
bacon,38298
weeknight,38298
60-minutes-or-less,38298
time-to-make,38298
course,38298
main-ingredient,38298
cuisine,38298
preparation,38298
occasion,38298
soups-stews,38298
pork,38298
potatoes,38298
vegetables,38298
european,38298
italian,38298
stove-top,38298
dietary,38298
copycat,38298
low-calorie,38298
low-carb,38298
low-in-something,38298
meat,38298
novelty,38298
equipment,38298
30-minutes-or-less,77397
time-to-make,77397
course,77397
preparation,77397
occasion,77397
healthy,77397
breads,77397
dinner-party,77397
holiday-event,77397
coffee-cakes,77397
dietary,77397
christmas,77397
inexpensive,77397
brunch,77397
time-to-make,131018
course,131018
main-ingredient,131018
cuisine,131018
preparation,131018
north-american,131018
healthy,131018
5-ingredients-or-less,131018
main-dish,131018
pork,131018
american,131018
easy,131018
beginner-cook,131018
low-fat,131018
crock-pot-slow-cooker,131018
dietary,131018
low-saturated-fat,131018
low-calorie,131018
oamc-freezer-make-ahead,131018
low-carb,131018
low-in-something,131018
meat,131018
equipment,131018
number-of-servings,131018
15-minutes-or-less,29679
time-to-make,29679
course,29679
main-ingredient,29679
preparation,29679
occasion,29679
5-ingredients-or-less,29679
desserts,29679
lunch,29679
easy,29679
no-cook,29679
dinner-party,29679
finger-food,29679
holiday-event,29679
kosher,29679
vegetarian,29679
candy,29679
cookies-and-brownies,29679
chocolate,29679
bar-cookies,29679
nuts,29679
dietary,29679
gifts,29679
copycat,29679
comfort-food,29679
novelty,29679
taste-mood,29679
number-of-servings,29679
presentation,29679
technique,29679
peanut-butter,29679
time-to-make,87782
course,87782
main-ingredient,87782
cuisine,87782
preparation,87782
occasion,87782
low-protein,87782
side-dishes,87782
potatoes,87782
vegetables,87782
greek,87782
european,87782
dinner-party,87782
kid-friendly,87782
vegetarian,87782
dietary,87782
low-sodium,87782
low-cholesterol,87782
low-saturated-fat,87782
low-calorie,87782
comfort-food,87782
healthy-2,87782
low-in-something,87782
taste-mood,87782
4-hours-or-less,87782
time-to-make,4627
course,4627
main-ingredient,4627
cuisine,4627
preparation,4627
north-american,4627
clear-soups,4627
soups-stews,4627
poultry,4627
mexican,4627
dietary,4627
meat,4627
4-hours-or-less,4627
weeknight,73166
time-to-make,73166
course,73166
main-ingredient,73166
preparation,73166
occasion,73166
healthy,73166
lunch,73166
main-dish,73166
beef,73166
dinner-party,73166
holiday-event,73166
low-fat,73166
chili,73166
dietary,73166
spicy,73166
low-cholesterol,73166
low-saturated-fat,73166
low-calorie,73166
comfort-food,73166
healthy-2,73166
ground-beef,73166
low-in-something,73166
meat,73166
taste-mood,73166
4-hours-or-less,73166
30-minutes-or-less,50719
time-to-make,50719
course,50719
main-ingredient,50719
preparation,50719
occasion,50719
breads,50719
fruit,50719
muffins,50719
dietary,50719
quick-breads,50719
berries,50719
blueberries,50719
taste-mood,50719
sweet,50719
number-of-servings,50719
30-minutes-or-less,66121
time-to-make,66121
preparation,66121
occasion,66121
for-1-or-2,66121
healthy,66121
stove-top,66121
dietary,66121
copycat,66121
novelty,66121
equipment,66121
number-of-servings,66121
presentation,66121
served-hot,66121
30-minutes-or-less,141983
time-to-make,141983
course,141983
main-ingredient,141983
preparation,141983
occasion,141983
sauces,141983
condiments-etc,141983
pasta,141983
easy,141983
beginner-cook,141983
dinner-party,141983
dietary,141983
copycat,141983
savory-sauces,141983
pasta-rice-and-grains,141983
spaghetti,141983
novelty,141983
presentation,141983
served-hot,141983
60-minutes-or-less,37336
time-to-make,37336
preparation,37336
oven,37336
easy,37336
dietary,37336
equipment,37336
3-steps-or-less,37336
weeknight,28768
time-to-make,28768
course,28768
main-ingredient,28768
cuisine,28768
preparation,28768
occasion,28768
main-dish,28768
beef,28768
eggs-dairy,28768
pasta,28768
oven,28768
european,28768
dinner-party,28768
